Company Name,Fiscal Period / Year,Market Cap,Net Revenue/Net Sales,Net Profit,EBITDA,Employee Headcount,Source Links
TCS,FY21 (2020-21),N/A (Privately Held),N/A,N/A,N/A,N/A,
TCS,FY22 (2021-22),N/A (Privately Held),N/A,N/A,N/A,N/A,
TCS,FY23 (2022-23),N/A (Privately Held),N/A,N/A,N/A,N/A,
TCS,FY24 (2023-24),N/A (Privately Held),N/A,N/A,N/A,N/A,
TCS,FY25 (2024-25),N/A (Privately Held),N/A,N/A,N/A,N/A,
TCS,FY26 / Present,N/A (Privately Held),N/A,N/A,N/A,N/A,
Haldiram's,FY21 (2020-21),N/A (Privately Held),N/A,N/A,N/A,N/A,Audited ROC / Media Disclosures (2021): https://digitalgriot.com/haldiram-net-worth/ | Audited ROC / Media Disclosures (2022): https://inshorts.com/en/news/how-much-money-has-haldirams-made-in-the-last-5-years-1694078564071 | Audited ROC / Media Disclosures (2024): https://www.livemint.com/companies/news/temasek-haldiram-acquisitions-expansion-india-snack-market-competition-11755577980043.html
Haldiram's,FY22 (2021-22),N/A (Privately Held),"₹ 9,215 Cr.",N/A,N/A,N/A,Audited ROC / Media Disclosures (2021): https://digitalgriot.com/haldiram-net-worth/ | Audited ROC / Media Disclosures (2022): https://inshorts.com/en/news/how-much-money-has-haldirams-made-in-the-last-5-years-1694078564071 | Audited ROC / Media Disclosures (2024): https://www.livemint.com/companies/news/temasek-haldiram-acquisitions-expansion-india-snack-market-competition-11755577980043.html
Haldiram's,FY23 (2022-23),N/A (Privately Held),"₹ 3,622 Cr.",N/A,N/A,N/A,Audited ROC / Media Disclosures (2021): https://digitalgriot.com/haldiram-net-worth/ | Audited ROC / Media Disclosures (2022): https://inshorts.com/en/news/how-much-money-has-haldirams-made-in-the-last-5-years-1694078564071 | Audited ROC / Media Disclosures (2024): https://www.livemint.com/companies/news/temasek-haldiram-acquisitions-expansion-india-snack-market-competition-11755577980043.html
Haldiram's,FY24 (2023-24),N/A (Privately Held),"₹ 9,215 Cr.",₹ 597 Cr.,N/A,N/A,Audited ROC / Media Disclosures (2021): https://digitalgriot.com/haldiram-net-worth/ | Audited ROC / Media Disclosures (2022): https://inshorts.com/en/news/how-much-money-has-haldirams-made-in-the-last-5-years-1694078564071 | Audited ROC / Media Disclosures (2024): https://www.livemint.com/companies/news/temasek-haldiram-acquisitions-expansion-india-snack-market-competition-11755577980043.html
Haldiram's,FY25 (2024-25),N/A (Privately Held),"₹ 6,976 Cr.",₹ 597 Cr.,N/A,N/A,Audited ROC / Media Disclosures (2021): https://digitalgriot.com/haldiram-net-worth/ | Audited ROC / Media Disclosures (2022): https://inshorts.com/en/news/how-much-money-has-haldirams-made-in-the-last-5-years-1694078564071 | Audited ROC / Media Disclosures (2024): https://www.livemint.com/companies/news/temasek-haldiram-acquisitions-expansion-india-snack-market-competition-11755577980043.html
Haldiram's,FY26 / Present,N/A (Privately Held),N/A,N/A,N/A,N/A,Audited ROC / Media Disclosures (2021): https://digitalgriot.com/haldiram-net-worth/ | Audited ROC / Media Disclosures (2022): https://inshorts.com/en/news/how-much-money-has-haldirams-made-in-the-last-5-years-1694078564071 | Audited ROC / Media Disclosures (2024): https://www.livemint.com/companies/news/temasek-haldiram-acquisitions-expansion-india-snack-market-competition-11755577980043.html
Tata Consultancy Services Ltd,Mar 2022,$144.02 B,"₹ 191,754 Cr.","₹ 38,449 Cr.","₹ 53,057 Cr.",N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/TCS/consolidated/ | CompaniesMarketCap (Historical Market Valuation): https://companiesmarketcap.com/tata-consultancy-services/marketcap/ | Wikipedia Corporate Disclosures (Workforce Count): https://en.wikipedia.org/wiki/Tata_Consultancy_Services
Tata Consultancy Services Ltd,Mar 2023,$165.02 B,"₹ 225,458 Cr.","₹ 42,303 Cr.","₹ 59,259 Cr.",N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/TCS/consolidated/ | CompaniesMarketCap (Historical Market Valuation): https://companiesmarketcap.com/tata-consultancy-services/marketcap/ | Wikipedia Corporate Disclosures (Workforce Count): https://en.wikipedia.org/wiki/Tata_Consultancy_Services
Tata Consultancy Services Ltd,Mar 2024,$176.46 B,"₹ 240,893 Cr.","₹ 46,099 Cr.","₹ 64,296 Cr.",N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/TCS/consolidated/ | CompaniesMarketCap (Historical Market Valuation): https://companiesmarketcap.com/tata-consultancy-services/marketcap/ | Wikipedia Corporate Disclosures (Workforce Count): https://en.wikipedia.org/wiki/Tata_Consultancy_Services
Tata Consultancy Services Ltd,Mar 2025,$132.10 B,"₹ 255,324 Cr.","₹ 48,797 Cr.","₹ 67,407 Cr.",N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/TCS/consolidated/ | CompaniesMarketCap (Historical Market Valuation): https://companiesmarketcap.com/tata-consultancy-services/marketcap/ | Wikipedia Corporate Disclosures (Workforce Count): https://en.wikipedia.org/wiki/Tata_Consultancy_Services
Tata Consultancy Services Ltd,Mar 2026,$83.97 B,"₹ 267,021 Cr.","₹ 49,454 Cr.","₹ 72,398 Cr.",N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/TCS/consolidated/ | CompaniesMarketCap (Historical Market Valuation): https://companiesmarketcap.com/tata-consultancy-services/marketcap/ | Wikipedia Corporate Disclosures (Workforce Count): https://en.wikipedia.org/wiki/Tata_Consultancy_Services
Tata Consultancy Services Ltd,TTM,"₹ 7,95,274 Cr.","₹ 275,859 Cr.","₹ 50,055 Cr.","₹ 74,079 Cr.","584,519",Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/TCS/consolidated/ | CompaniesMarketCap (Historical Market Valuation): https://companiesmarketcap.com/tata-consultancy-services/marketcap/ | Wikipedia Corporate Disclosures (Workforce Count): https://en.wikipedia.org/wiki/Tata_Consultancy_Services
Tata Chemicals Ltd,Mar 2022,$2.88 B,"₹ 12,622 Cr.","₹ 1,405 Cr.","₹ 2,319 Cr.",N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/TATACHEM/consolidated/ | CompaniesMarketCap (Historical Market Valuation): https://companiesmarketcap.com/tata-chemicals/marketcap/
Tata Chemicals Ltd,Mar 2023,$3.38 B,"₹ 16,789 Cr.","₹ 2,434 Cr.","₹ 3,820 Cr.",N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/TATACHEM/consolidated/ | CompaniesMarketCap (Historical Market Valuation): https://companiesmarketcap.com/tata-chemicals/marketcap/
Tata Chemicals Ltd,Mar 2024,$3.12 B,"₹ 15,421 Cr.",N/A,"₹ 2,847 Cr.",N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/TATACHEM/consolidated/ | CompaniesMarketCap (Historical Market Valuation): https://companiesmarketcap.com/tata-chemicals/marketcap/
Tata Chemicals Ltd,Mar 2025,$2.16 B,"₹ 14,887 Cr.",₹ 387 Cr.,"₹ 1,953 Cr.",N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/TATACHEM/consolidated/ | CompaniesMarketCap (Historical Market Valuation): https://companiesmarketcap.com/tata-chemicals/marketcap/
Tata Chemicals Ltd,Mar 2026,$1.62 B,"₹ 14,584 Cr.","₹ 1,715 Cr.","₹ 1,805 Cr.",N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/TATACHEM/consolidated/ | CompaniesMarketCap (Historical Market Valuation): https://companiesmarketcap.com/tata-chemicals/marketcap/
Tata Chemicals Ltd,TTM,"₹ 15,594 Cr.","₹ 15,120 Cr.","₹ 1,971 Cr.","₹ 1,694 Cr.",N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/TATACHEM/consolidated/ | CompaniesMarketCap (Historical Market Valuation): https://companiesmarketcap.com/tata-chemicals/marketcap/
Indigo Paints Ltd,Mar 2023,N/A,"₹ 1,073 Cr.",₹ 132 Cr.,₹ 182 Cr.,N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/INDIGOPNTS/consolidated/
Indigo Paints Ltd,Mar 2024,N/A,"₹ 1,306 Cr.",₹ 149 Cr.,₹ 238 Cr.,N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/INDIGOPNTS/consolidated/
Indigo Paints Ltd,Mar 2025,N/A,"₹ 1,341 Cr.",₹ 142 Cr.,₹ 233 Cr.,N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/INDIGOPNTS/consolidated/
Indigo Paints Ltd,Mar 2026,"₹ 5,159 Cr.","₹ 1,405 Cr.",₹ 148 Cr.,₹ 255 Cr.,N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/INDIGOPNTS/consolidated/
Indigo Paints Ltd,TTM,"₹ 5,159 Cr.","₹ 1,466 Cr.",₹ 163 Cr.,₹ 272 Cr.,N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/INDIGOPNTS/consolidated/
Parle-G,FY21 (2020-21),N/A (Privately Held),N/A,N/A,N/A,N/A,
Parle-G,FY22 (2021-22),N/A (Privately Held),N/A,N/A,N/A,N/A,
Parle-G,FY23 (2022-23),N/A (Privately Held),N/A,N/A,N/A,N/A,
Parle-G,FY24 (2023-24),N/A (Privately Held),N/A,N/A,N/A,N/A,
Parle-G,FY25 (2024-25),N/A (Privately Held),N/A,N/A,N/A,N/A,
Parle-G,FY26 / Present,N/A (Privately Held),N/A,N/A,N/A,N/A,
Interglobe Aviation Ltd (IndiGo),Mar 2022,N/A,"₹ 25,931 Cr.","₹ 6,162 Cr.",₹ 575 Cr.,N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/INDIGO/consolidated/
Interglobe Aviation Ltd (IndiGo),Mar 2023,N/A,"₹ 54,446 Cr.",N/A,"₹ 6,531 Cr.",N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/INDIGO/consolidated/
Interglobe Aviation Ltd (IndiGo),Mar 2024,N/A,"₹ 68,904 Cr.","₹ 8,172 Cr.","₹ 16,356 Cr.",N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/INDIGO/consolidated/
Interglobe Aviation Ltd (IndiGo),Mar 2025,N/A,"₹ 80,803 Cr.","₹ 7,258 Cr.","₹ 18,102 Cr.",N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/INDIGO/consolidated/
Interglobe Aviation Ltd (IndiGo),Mar 2026,"₹ 1,89,084 Cr.","₹ 84,962 Cr.","₹ 2,394 Cr.","₹ 12,037 Cr.",N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/INDIGO/consolidated/
Interglobe Aviation Ltd (IndiGo),TTM,"₹ 1,89,084 Cr.","₹ 89,050 Cr.","₹ 4,808 Cr.","₹ 10,024 Cr.",N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/INDIGO/consolidated/
Amul,FY21 (2020-21),N/A (Privately Held),N/A,N/A,N/A,N/A,Audited ROC / Media Disclosures (2023): https://www.scribd.com/document/885330856/Amul-Financial-Reports-Section3
Amul,FY22 (2021-22),N/A (Privately Held),N/A,N/A,N/A,N/A,Audited ROC / Media Disclosures (2023): https://www.scribd.com/document/885330856/Amul-Financial-Reports-Section3
Amul,FY23 (2022-23),N/A (Privately Held),N/A,N/A,N/A,N/A,Audited ROC / Media Disclosures (2023): https://www.scribd.com/document/885330856/Amul-Financial-Reports-Section3
Amul,FY24 (2023-24),N/A (Privately Held),"₹ 61,000 Cr.","₹ 2,750 Cr.",N/A,N/A,Audited ROC / Media Disclosures (2023): https://www.scribd.com/document/885330856/Amul-Financial-Reports-Section3
Amul,FY25 (2024-25),N/A (Privately Held),N/A,N/A,N/A,N/A,Audited ROC / Media Disclosures (2023): https://www.scribd.com/document/885330856/Amul-Financial-Reports-Section3
Amul,FY26 / Present,N/A (Privately Held),N/A,N/A,N/A,N/A,Audited ROC / Media Disclosures (2023): https://www.scribd.com/document/885330856/Amul-Financial-Reports-Section3
Tata Motors Ltd,"Mar 2025
            
            
              10m",$16.63 B,"₹ 58,217 Cr.","₹ 3,195 Cr.","₹ 6,172 Cr.",N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/TMCV/consolidated/ | CompaniesMarketCap (Historical Market Valuation): https://companiesmarketcap.com/tata-motors/marketcap/ | Wikipedia Corporate Disclosures (Workforce Count): https://en.wikipedia.org/wiki/Tata_Motors
Tata Motors Ltd,Mar 2026,$16.63 B,"₹ 83,855 Cr.","₹ 3,030 Cr.","₹ 7,617 Cr.",N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/TMCV/consolidated/ | CompaniesMarketCap (Historical Market Valuation): https://companiesmarketcap.com/tata-motors/marketcap/ | Wikipedia Corporate Disclosures (Workforce Count): https://en.wikipedia.org/wiki/Tata_Motors
Tata Motors Ltd,TTM,"₹ 1,59,815 Cr.","₹ 87,197 Cr.","₹ 4,187 Cr.","₹ 11,218 Cr.","20,635",Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/TMCV/consolidated/ | CompaniesMarketCap (Historical Market Valuation): https://companiesmarketcap.com/tata-motors/marketcap/ | Wikipedia Corporate Disclosures (Workforce Count): https://en.wikipedia.org/wiki/Tata_Motors
Jio Financial Services Ltd,Mar 2023,$17.99 B,₹ 45 Cr.,₹ 31 Cr.,₹ 39 Cr.,N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/JIOFIN/consolidated/ | CompaniesMarketCap (Historical Market Valuation): https://companiesmarketcap.com/jio-financial-services/marketcap/
Jio Financial Services Ltd,Mar 2024,$22.68 B,"₹ 1,855 Cr.","₹ 1,605 Cr.","₹ 1,559 Cr.",N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/JIOFIN/consolidated/ | CompaniesMarketCap (Historical Market Valuation): https://companiesmarketcap.com/jio-financial-services/marketcap/
Jio Financial Services Ltd,Mar 2025,$21.00 B,"₹ 2,043 Cr.","₹ 1,613 Cr.","₹ 1,549 Cr.",N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/JIOFIN/consolidated/ | CompaniesMarketCap (Historical Market Valuation): https://companiesmarketcap.com/jio-financial-services/marketcap/
Jio Financial Services Ltd,Mar 2026,$15.65 B,"₹ 3,521 Cr.","₹ 1,561 Cr.","₹ 2,312 Cr.",N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/JIOFIN/consolidated/ | CompaniesMarketCap (Historical Market Valuation): https://companiesmarketcap.com/jio-financial-services/marketcap/
Jio Financial Services Ltd,TTM,"₹ 1,49,858 Cr.","₹ 4,905 Cr.","₹ 2,066 Cr.","₹ 3,245 Cr.",N/A,Screener.in (Audited Multi-Year P&L Financials): https://www.screener.in/company/JIOFIN/consolidated/ | CompaniesMarketCap (Historical Market Valuation): https://companiesmarketcap.com/jio-financial-services/marketcap/
