Company Name,Founding Year,Founder Name(s),CEO,CFO,CTO,Headquarter (City),Office Address,Business Type (Private Limited/Public Limited),Is Listed Company,Stock Ticker,Current Market Cap (Market Value/Mcap),Share Price,Source Links
Haldiram's,1937,Ganga Bhishen Agarwal,Krishan Kumar Chutani,N/A (Unlisted / Not Publicly Disclosed),N/A (Unlisted / Not Publicly Disclosed),Nagpur,"Nagpur, Maharashtra, India",Private Limited,No,N/A (Unlisted),N/A (Privately Held),N/A (Privately Held),Wikipedia Corporate Encyclopedia: https://en.wikipedia.org/wiki/Haldiram's
Tata Consultancy Services Ltd,1968,J. R. D. Tata,K. Krithivasan,Samir Seksaria,N/A,Mumbai,"Mumbai, Maharashtra, India",Public Limited,Yes,NSE/BSE: TCS,"₹ 7,96,269 Cr.","₹ 2,201",Screener.in (BSE & NSE Corporate Financials): https://www.screener.in/company/TCS/consolidated/ | Wikipedia Corporate Encyclopedia: https://en.wikipedia.org/wiki/Tata_Consultancy_Services
Tata Chemicals Ltd,1939,N/A,Ramakrishnan Mukundan,Nandakumar Tirumalai,N/A,Mumbai,"Mumbai, Maharashtra, India",Public Limited,Yes,NSE/BSE: TATACHEM,"₹ 15,594 Cr.",₹ 612,Screener.in (BSE & NSE Corporate Financials): https://www.screener.in/company/TATACHEM/consolidated/ | Wikipedia Corporate Encyclopedia: https://en.wikipedia.org/wiki/Tata_Chemicals
TCS,N/A,N/A,N/A,N/A,N/A,N/A,"Appointed on · 1 November 2024 · Correspondence address · Tcs House, Raveline Street, Mumbai, Maharashtra 400001",Private Limited,No,N/A (Unlisted),N/A (Privately Held),N/A (Privately Held),Corporate Ministry / Registry Records: https://find-and-update.company-information.service.gov.uk/company/FC025271/officers
Amul,1946,Tribhuvandas Patel,N/A (Unlisted / Not Publicly Disclosed),Amol Joshi,N/A (Unlisted / Not Publicly Disclosed),Anand,"Anand, Gujarat, India",Private Limited,No,N/A (Unlisted),N/A (Privately Held),N/A (Privately Held),Wikipedia Corporate Encyclopedia: https://en.wikipedia.org/wiki/Amul
Interglobe Aviation Ltd (IndiGo),2005,Rahul Bhatia Rakesh Gangwal,Willie Walsh,N/A,N/A,Gurgaon,"Gurgaon, Haryana, India",Public Limited,Yes,NSE/BSE: INDIGO,"₹ 1,89,024 Cr.","₹ 4,889",Screener.in (BSE & NSE Corporate Financials): https://www.screener.in/company/INDIGO/consolidated/ | Wikipedia Corporate Encyclopedia: https://en.wikipedia.org/wiki/IndiGo
Indigo Paints Ltd,2000,Hemant Jalan,Hemant Jalan,Chetan Humane,N/A,Pune,"Pune, Maharashtra, India",Public Limited,Yes,NSE/BSE: INDIGOPNTS,"₹ 5,159 Cr.","₹ 1,078",Screener.in (BSE & NSE Corporate Financials): https://www.screener.in/company/INDIGOPNTS/ | Wikipedia Corporate Encyclopedia: https://en.wikipedia.org/wiki/Indigo_Paints
Parle-G,N/A,N/A,George Kovoor,N/A (Unlisted / Not Publicly Disclosed),N/A (Unlisted / Not Publicly Disclosed),N/A,"Khandekar Marg, Vile Parle East Mumbai - 400057",Private Limited,No,N/A (Unlisted),N/A (Privately Held),N/A (Privately Held),Wikipedia Corporate Encyclopedia: https://en.wikipedia.org/wiki/Parle-G | Corporate Ministry / Registry Records: https://www.parleproducts.com/mgt
Tata Motors Ltd,1945,JRD Tata,N/A,Dhiman Gupta,N/A,Mumbai,"Mumbai, Maharashtra, India",Public Limited,Yes,NSE/BSE: TMCV,"₹ 1,60,036 Cr.",₹ 435,Screener.in (BSE & NSE Corporate Financials): https://www.screener.in/company/TMCV/consolidated/ | Wikipedia Corporate Encyclopedia: https://en.wikipedia.org/wiki/Tata_Motors
Jio Financial Services Ltd,1999,Mukesh Ambani,N/A,N/A,N/A,Mumbai,"Mumbai, Maharashtra",Public Limited,Yes,NSE/BSE: JIOFIN,"₹ 1,51,806 Cr.",₹ 230,Screener.in (BSE & NSE Corporate Financials): https://www.screener.in/company/JIOFIN/consolidated/ | Wikipedia Corporate Encyclopedia: https://en.wikipedia.org/wiki/Jio_Financial_Services
Adani Energy Solutions Ltd,2013,Gautam Adani,Bimal Dayal,Ashok Jagetiya,N/A,Shantigram,"Shantigram, Khodiyar, Ahmedabad, India",Public Limited,Yes,NSE/BSE: ADANIENSOL,"₹ 1,67,912 Cr.","₹ 1,373",Screener.in (BSE & NSE Corporate Financials): https://www.screener.in/company/ADANIENSOL/consolidated/ | Wikipedia Corporate Encyclopedia: https://en.wikipedia.org/wiki/Adani_Energy_Solutions
Godlike ESports,N/A,N/A,Chetan Chandgude,N/A (Unlisted / Not Publicly Disclosed),N/A (Unlisted / Not Publicly Disclosed),N/A,in MCA (Ministry of Corporate Affairs) record is: 400 A/P SUPA TAL BARAMATI DIST PUNE SUPA,Private Limited,No,N/A (Unlisted),N/A (Privately Held),N/A (Privately Held),Corporate Ministry / Registry Records: https://www.bizindigo.com/godlike-esports-private-limited/
Infosys Ltd,1981,N. R. Narayana MurthyNandan NilekaniKris GopalakrishnanS. D. ShibulalK. DineshN. S. RaghavanAshok Arora,Salil Parekh,Jayesh Sanghrajka,Mohammed Ra,Bengaluru,"Bengaluru, Karnataka, India",Public Limited,Yes,NSE/BSE: INFY,"₹ 4,21,123 Cr.","₹ 1,038",Screener.in (BSE & NSE Corporate Financials): https://www.screener.in/company/INFY/consolidated/ | Wikipedia Corporate Encyclopedia: https://en.wikipedia.org/wiki/Infosys
